gname,peak_pdf,peak_hpd,error
G359.13+00.03,5.684237092999047,5.649302302302304,0.034934790696743434
G359.93-00.14,5.267061151401551,5.299724724724724,-0.03266357332317327
G000.37+00.03,6.504601151475668,6.820013013013012,-0.3154118615373447
G000.67-00.03,7.622229952246993,7.7100480480480496,-0.08781809580105637
G001.00-00.23,7.282255358660311,7.748561561561562,-0.4663062029012508
G001.14-00.12,2.902846991090904,3.390682682682683,-0.487835691591779
G002.70+00.04,4.822887454986292,5.466046046046046,-0.6431585910597537
G009.21-00.20,2.817447498834979,2.939888888888889,-0.12244139005390986
G009.62+00.19,5.017351067939122,5.051694694694693,-0.03434362675557168
G010.32-00.15,2.85714285714286,2.874082082082082,-0.016939224939222175
G010.47+00.02,8.468549652548202,8.425573573573574,0.042976078974627185
G010.62-00.33,2.5542358003083923,2.5609429429429427,-0.0067071426345504115
G010.62-00.38,4.865868513112172,4.917054054054053,-0.05118554094188088
G012.02-00.03,9.328872026225834,9.359808808808811,-0.03093678258297672
G015.66-00.49,4.397599975091642,4.395237237237239,0.0023627378544031075
G016.86-02.15,2.161724349688289,2.1311771771771766,0.030547172511112386
G017.02-02.40,1.7488704284271883,1.7845935935935937,-0.03572316516640539
G019.00-00.02,3.6260333598977663,3.691422422422423,-0.0653890625246567
G019.36-00.03,2.650824288351542,2.7426666666666666,-0.09184237831512476
G019.49+00.11,2.63992585702052,2.716333333333333,-0.07640747631281286
G022.35+00.06,3.2574398084261573,3.528043043043043,-0.27060323461688585
G023.25-00.24,5.112587367156389,5.1992352352352365,-0.08664786807884717
G023.43-00.18,5.515828798262334,5.620730730730732,-0.10490193246839752
G023.70-00.19,5.957247828868737,6.0318108108108115,-0.07456298194207456
G024.78+00.08,6.521497825655352,6.5132612612612615,0.008236564394090706
G024.85+00.08,5.590885806258543,5.51863963963964,0.07224616661890249
G025.70+00.04,8.857524843272175,9.057113113113113,-0.19958826984093747
G027.36-00.16,6.723950378617447,6.859323323323324,-0.13537294470587735
G029.86-00.04,4.369389940228139,4.358693693693693,0.010696246534445564
G029.98+00.10,6.358423652128243,6.3411711711711725,0.01725248095707066
G030.19-00.16,4.696175411794016,4.681615615615616,0.014559796178399864
G030.22-00.18,3.435990322505199,3.4008648648648654,0.03512545764033348
G030.41-00.23,3.8995566401773285,3.9591951951951954,-0.05963855501786686
G030.78+00.20,6.520832000341224,6.561055055055054,-0.04022305471383003
G030.81-00.05,3.0366132319554766,3.0385945945945947,-0.0019813626391180783
G032.74-00.07,7.6958435248403125,7.720711711711711,-0.024868186871398024
G032.79+00.19,8.393965611640464,8.722594594594595,-0.3286289829541307
G033.39+00.00,7.91666417996547,8.000077077077076,-0.08341289711160638
G036.11+00.55,3.7134576328100954,3.798272272272272,-0.08481463946217671
G037.47-00.10,9.512681755413611,9.662372372372374,-0.14969061695876285
G038.03-00.30,9.589338525044523,9.75933933933934,-0.1700008142948164
G040.62-00.13,11.13341817270363,11.242444444444445,-0.1090262717408148
G049.41+00.32,6.8854480531536,6.977781781781782,-0.09233372862818179
G049.48-00.36,4.211270524014039,4.4019009009009,-0.1906303768868609
G073.65+00.19,11.838419462674796,12.230976976976974,-0.3925575143021778
G074.56+00.84,2.4917101864276234,2.4952022022022016,-0.003492015774578139
G078.12+03.63,1.5437370183453427,1.5534534534534534,-0.00971643510811071
G098.03+01.44,2.1047548994728533,2.3007387387387386,-0.19598383926588525
G108.59+00.49,2.437192306166643,2.4467877877877884,-0.009595481621145208
G110.19+02.47,2.9188181684555383,2.943785785785786,-0.02496761733024755
G111.23-01.23,2.952134851418227,2.9994924924924917,-0.047357641074264656
G111.54+00.77,2.63488666971802,2.6343563563563563,0.000530313361663648
G136.84+01.16,1.9201657182935632,1.9382482482482482,-0.018082529954684956
G182.67-03.26,5.651663108797622,5.7332402402402405,-0.0815771314426188
G188.79+01.03,1.867015038894179,1.877803803803804,-0.010788764909624993
G000.31-00.20,2.8407307535564277,2.841629629629629,-0.0008988760732013823
G005.88-00.39,2.972843595111365,2.9735925925925932,-0.0007489974812280309
G006.79-00.25,3.436064691739429,3.4085825825825826,0.027482109156846235
G007.47+00.05,19.636944116812494,19.687453453453454,-0.050509336640960356
G008.34-01.00,1.5504800579495104,1.5605315315315311,-0.010051473582020742
G011.10-00.11,2.7176692614802818,2.708711711711712,0.008957549768569883
G011.49-01.48,1.2457748028949465,1.2446886886886883,0.0010861142062581486
G011.91-00.61,3.195136418625782,3.2537377377377377,-0.058601319111955874
G012.68-00.18,2.3824517129188427,2.408435435435435,-0.025983722516592422
G012.81-00.19,2.8505872564970716,2.8743143143143146,-0.023727057817243047
G012.88+00.48,2.4191579146958806,2.4594324324324326,-0.040274517736551996
G012.90-00.24,2.432846983924044,2.4354704704704706,-0.0026234865464265233
G012.90-00.26,2.493107283134239,2.5206836836836835,-0.027576400549444546
G013.71-00.08,3.7668104788486274,3.753232232232232,0.013578246616395617
G013.87+00.28,3.8691123047601277,3.916008008008008,-0.046895703247880505
G014.33-00.64,1.0925496655412144,1.0942362362362363,-0.0016865706950219828
G014.63-00.57,1.8255931482564063,1.8182712712712712,0.0073218769851350896
G015.03-00.67,1.993243442371573,2.0053513513513512,-0.012107908979778204
G016.58-00.05,3.5367941581843305,3.524918918918919,0.011875239265411341
G017.55-00.12,1.9890820520729837,1.9854924924924924,0.0035895595804913416
