gname,ra,dec,glong,glat,plx,e_plx,vlsr,e_vlsr,Rgal,Rgal_kde,Rgal_err_neg,Rgal_err_pos,Rtan,Rtan_kde,Rtan_err_neg,Rtan_err_pos,near,near_kde,near_err_neg,near_err_pos,far,far_kde,far_err_neg,far_err_pos,distance,distance_kde,distance_err_neg,distance_err_pos,tangent,tangent_kde,tangent_err_neg,tangent_err_pos,vlsr_tangent,vlsr_tangent_kde,vlsr_tangent_err_neg,vlsr_tangent_err_pos
G359.13+00.03,265.85671208333326,-29.654875277777784,359.1373497015032,0.03164965568619413,0.165,0.031,-1.0,10.0,0.8824206661699475,<pyqt_fit.kde.KDE1D object at 0x7fdd0bf14b20>,0.7402855311444383,5.13845251029669,0.13171614988098235,<pyqt_fit.kde.KDE1D object at 0x7fdd0a2157c0>,0.009273784190249629,0.022998984791819083,7.6946806806806745,<pyqt_fit.kde.KDE1D object at 0x7fdd0a1d6250>,2.0721791791791775,0.6963193193193185,9.61467867867867,<pyqt_fit.kde.KDE1D object at 0x7fdd0a1d6be0>,1.4186786786786776,4.7798558558558515,8.055365365365358,<pyqt_fit.kde.KDE1D object at 0x7fdd0a1542b0>,3.242162162162159,1.981321321321321,8.234080080080073,<pyqt_fit.kde.KDE1D object at 0x7fdd0a18cca0>,0.04455055055055013,0.05901501501501549,-25.927057025569717,<scipy.stats.kde.gaussian_kde object at 0x7fdd0a12e130>,6.229912972758157,4.455831795085302
G359.93-00.14,266.5079929166666,-29.066298333333336,359.9358046522043,-0.14465979579567287,0.181,0.029,-10.0,10.0,0.009604161219940961,<pyqt_fit.kde.KDE1D object at 0x7fdd0a689130>,0.0,1.204073623381509,0.015447482559329852,<pyqt_fit.kde.KDE1D object at 0x7fdd0a215a00>,0.006313414300009873,0.052611785833415615,8.170040040040034,<pyqt_fit.kde.KDE1D object at 0x7fdd0a1f0ca0>,0.20189789789789803,0.1934854854854855,8.434738738738732,<pyqt_fit.kde.KDE1D object at 0x7fdd0a1d6e20>,0.32873873873873904,1.8628528528528516,8.235485485485478,<pyqt_fit.kde.KDE1D object at 0x7fdd0a6731f0>,0.3302202202202196,0.3002002002001998,8.204238238238231,<pyqt_fit.kde.KDE1D object at 0x7fdd0a18ce20>,0.04193193193193068,0.06201201201201201,-7.984643994357011,<scipy.stats.kde.gaussian_kde object at 0x7fdd0a154340>,3.5952178632283776,2.8030512153983977
G000.37+00.03,266.58917166666663,-28.59439472222222,0.37587051594994725,0.03998288982206162,0.125,0.047,37.0,10.0,0.0606106438107036,<pyqt_fit.kde.KDE1D object at 0x7fdd0a689190>,0.007310840327133812,0.026319025177681706,0.062406317849733065,<pyqt_fit.kde.KDE1D object at 0x7fdd0a215c40>,0.008893207852927798,0.03877438623876521,8.046954954954948,<pyqt_fit.kde.KDE1D object at 0x7fdd0a1f0ee0>,0.24473873873873764,0.1770450450450447,8.200292292292286,<pyqt_fit.kde.KDE1D object at 0x7fdd0a215fd0>,0.06079279279279248,0.05403803803803875,8.1269049049049,<pyqt_fit.kde.KDE1D object at 0x7fdd0a6733d0>,0.05935935935936065,0.05342342342342299,8.126924924924918,<pyqt_fit.kde.KDE1D object at 0x7fdd0a1234c0>,0.05371771771771705,0.052168168168167384,13.655740334104305,<scipy.stats.kde.gaussian_kde object at 0x7fdd0a154700>,2.79353939769074,5.144200598186604
G000.67-00.03,266.8333333333333,-28.37777777777778,0.6723936512495867,-0.031085589754245226,0.129,0.012,62.0,5.0,,,,,0.10446762826398265,<pyqt_fit.kde.KDE1D object at 0x7fdd0a215e80>,0.008938304493695634,0.028139106739412195,,,,,,,,,8.123311311311305,<pyqt_fit.kde.KDE1D object at 0x7fdd0a154640>,0.059137137137136975,0.046116116116115435,8.123311311311305,<pyqt_fit.kde.KDE1D object at 0x7fdd0a123700>,0.059137137137136975,0.046116116116115435,21.5316948753718,<scipy.stats.kde.gaussian_kde object at 0x7fdd0a1549a0>,5.102670735150706,4.5924036616356325
G001.00-00.23,267.23035208333334,-28.196733333333334,1.0080088997502155,-0.23691464594107528,0.09,0.057,2.0,5.0,1.1025451834581077,<pyqt_fit.kde.KDE1D object at 0x7fdd0a6899a0>,0.8494850332016708,2.243511754353131,0.1518754928274047,<pyqt_fit.kde.KDE1D object at 0x7fdd0a20d040>,0.008970215612847027,0.020386853665561366,0.01,<pyqt_fit.kde.KDE1D object at 0x7fdd0a2032b0>,0.0,5.338887887887884,9.322822822822815,<pyqt_fit.kde.KDE1D object at 0x7fdd0a157250>,1.0118618618618616,2.2436936936936913,9.406266266266258,<pyqt_fit.kde.KDE1D object at 0x7fdd0a6588e0>,6.784524524524518,3.7825225225225196,8.119751751751744,<pyqt_fit.kde.KDE1D object at 0x7fdd0a123c70>,0.058974974974974614,0.042370370370370836,26.89993139967116,<scipy.stats.kde.gaussian_kde object at 0x7fdd0a154c70>,4.266230636699902,6.340636359131963
G001.14-00.12,267.2022541666667,-28.019819444444447,1.1468590971627388,-0.12451539666452208,0.194,0.161,-16.0,3.0,15.173380260729814,<pyqt_fit.kde.KDE1D object at 0x7fdd0a689b20>,4.427525157307397,6.194891166602943,0.17183535255516963,<pyqt_fit.kde.KDE1D object at 0x7fdd0a1c5280>,0.00926659799323451,0.01793535095464746,,,,,23.342756756756735,<pyqt_fit.kde.KDE1D object at 0x7fdd0a1573d0>,4.383594594594591,6.202513513513509,8.098484484484477,<pyqt_fit.kde.KDE1D object at 0x7fdd0a658d90>,0.3342042042042035,0.3119239239239242,8.113686686686679,<pyqt_fit.kde.KDE1D object at 0x7fdd0a123eb0>,0.05619119119119098,0.04536536536536673,29.22716085472272,<scipy.stats.kde.gaussian_kde object at 0x7fdd0a154ee0>,4.421475692596424,6.204328794449815
G002.70+00.04,267.9415691666667,-26.599186111111113,2.703329806207946,0.04008424737831133,0.101,0.105,93.0,5.0,,,,,0.39215855941794325,<pyqt_fit.kde.KDE1D object at 0x7fdd0a1c5760>,0.005400564231168137,0.01005105009689633,,,,,,,,,8.084620620620614,<pyqt_fit.kde.KDE1D object at 0x7fdd0a6730a0>,0.050810810810810736,0.04328328328328368,8.084620620620614,<pyqt_fit.kde.KDE1D object at 0x7fdd0a140040>,0.050810810810810736,0.04328328328328368,50.656274187169636,<scipy.stats.kde.gaussian_kde object at 0x7fdd0a658040>,5.696675818985533,5.249877715535696
G009.21-00.20,271.72017541666673,-21.074410555555556,9.214501562373684,-0.20178401986576255,0.303,0.096,43.0,5.0,3.0860593359595647,<pyqt_fit.kde.KDE1D object at 0x7fdd0a689ca0>,0.30660260504743153,0.32559568677603323,1.3145300967264875,<pyqt_fit.kde.KDE1D object at 0x7fdd0a1c5d90>,0.005456223291405937,0.006220094552202848,4.662418418418414,<pyqt_fit.kde.KDE1D object at 0x7fdd0a2036d0>,0.39209609609609597,0.3680200200200199,10.86946046046045,<pyqt_fit.kde.KDE1D object at 0x7fdd0a161220>,0.34182782782782795,0.35997797797797837,10.888006006005996,<pyqt_fit.kde.KDE1D object at 0x7fdd0a673460>,6.8184284284284224,0.5698398398398385,7.954294294294288,<pyqt_fit.kde.KDE1D object at 0x7fdd0a140280>,0.0413693693693693,0.04977777777777703,94.38783938609076,<scipy.stats.kde.gaussian_kde object at 0x7fdd0a140700>,4.894757090142818,4.755898732975638
G009.62+00.19,271.5610833333334,-20.52547222222222,9.621176471063592,0.19579350539472196,0.194,0.023,2.0,3.0,6.928642528405665,<pyqt_fit.kde.KDE1D object at 0x7fdd0a689e20>,0.5990008210133588,0.5459918987997874,1.3719325186188127,<pyqt_fit.kde.KDE1D object at 0x7fdd0a215130>,0.0059182053693813685,0.00602780176511053,0.01,<pyqt_fit.kde.KDE1D object at 0x7fdd0a203910>,0.0,0.43541541541541506,14.680054054054041,<pyqt_fit.kde.KDE1D object at 0x7fdd0a1615b0>,0.43175675675675684,0.7355855855855857,14.842476476476463,<pyqt_fit.kde.KDE1D object at 0x7fdd0a6736d0>,14.832476476476463,1.1367287287287269,7.944962962962956,<pyqt_fit.kde.KDE1D object at 0x7fdd0a1404c0>,0.044074074074074154,0.04703703703703699,95.84536712138646,<scipy.stats.kde.gaussian_kde object at 0x7fdd0a140490>,4.693225234410491,5.018140827561979
G010.32-00.15,272.2560620833333,-20.085514999999997,10.322582065798148,-0.15976309095023986,0.343,0.035,10.0,5.0,5.840248005479613,<pyqt_fit.kde.KDE1D object at 0x7fdd0a2033d0>,0.50085337043721,0.7335731183171257,1.470396333892364,<pyqt_fit.kde.KDE1D object at 0x7fdd0a19d190>,0.005843402273254084,0.006482524396891565,1.0624924924924917,<pyqt_fit.kde.KDE1D object at 0x7fdd0a203b50>,0.6589789789789785,0.6277477477477471,13.719204204204194,<pyqt_fit.kde.KDE1D object at 0x7fdd0a161cd0>,0.5304654654654666,0.7416216216216203,0.6904804804804799,<pyqt_fit.kde.KDE1D object at 0x7fdd0a673910>,0.6804804804804799,14.085945945945936,7.936693693693687,<pyqt_fit.kde.KDE1D object at 0x7fdd0a140640>,0.05238638638638715,0.037855855855855935,98.49717872946835,<scipy.stats.kde.gaussian_kde object at 0x7fdd0a1383a0>,4.479230556830871,4.945070534741291
