gname,ra,dec,glong,glat,plx,e_plx,vlsr,e_vlsr,Rgal,Rgal_kde,Rgal_err_neg,Rgal_err_pos,Rtan,Rtan_kde,Rtan_err_neg,Rtan_err_pos,near,near_kde,near_err_neg,near_err_pos,far,far_kde,far_err_neg,far_err_pos,distance,distance_kde,distance_err_neg,distance_err_pos,tangent,tangent_kde,tangent_err_neg,tangent_err_pos,vlsr_tangent,vlsr_tangent_kde,vlsr_tangent_err_neg,vlsr_tangent_err_pos
G359.13+00.03,265.85671208333326,-29.654875277777784,359.1373497015032,0.03164965568619413,0.165,0.031,-1.0,10.0,0.7297325649134565,<pyqt_fit.kde.KDE1D object at 0x7fc8155d1790>,0.5877052149563136,5.245813214980429,0.13116602049751147,<pyqt_fit.kde.KDE1D object at 0x7fc810ca8b80>,0.008842211718973592,0.023172692780758425,7.716889889889883,<pyqt_fit.kde.KDE1D object at 0x7fc810ca8640>,1.826050050050048,0.6701101101101106,9.54314714714714,<pyqt_fit.kde.KDE1D object at 0x7fc810c4e610>,1.3071471471471465,4.8364444444444405,8.061950950950944,<pyqt_fit.kde.KDE1D object at 0x7fc810c14af0>,2.911068068068065,1.7706496496496484,8.236777777777771,<pyqt_fit.kde.KDE1D object at 0x7fc810c76e20>,0.046666666666666856,0.05777777777777793,-27.500797175506765,<scipy.stats.kde.gaussian_kde object at 0x7fc810d1f8b0>,4.654105094731104,6.086137431571444
G359.93-00.14,266.5079929166666,-29.066298333333336,359.9358046522043,-0.14465979579567287,0.181,0.029,-10.0,10.0,0.009357978293941275,<pyqt_fit.kde.KDE1D object at 0x7fc8121b8af0>,0.0,1.2048035349281174,0.00907975765322619,<pyqt_fit.kde.KDE1D object at 0x7fc810ca8dc0>,0.0,0.06539863100566755,8.166098098098091,<pyqt_fit.kde.KDE1D object at 0x7fc811156370>,0.8687467467467469,0.26990190190190155,8.420710710710704,<pyqt_fit.kde.KDE1D object at 0x7fc810c4e850>,0.30671071071071054,1.9059879879879862,8.235485485485478,<pyqt_fit.kde.KDE1D object at 0x7fc810c14ca0>,0.42028028028027986,0.3902602602602592,8.209234234234227,<pyqt_fit.kde.KDE1D object at 0x7fc810c76fa0>,0.0515135135135143,0.06868468468468514,-8.545922264284759,<scipy.stats.kde.gaussian_kde object at 0x7fc810d1fd90>,2.882193208695522,3.5426958190215814
G000.37+00.03,266.58917166666663,-28.59439472222222,0.37587051594994725,0.03998288982206162,0.125,0.047,37.0,10.0,0.053318481143246124,<pyqt_fit.kde.KDE1D object at 0x7fc8121b8ac0>,0.0,0.14604336845625887,0.06242868958966556,<pyqt_fit.kde.KDE1D object at 0x7fc810d02fa0>,0.009030961681216094,0.03776583975781275,8.046453453453449,<pyqt_fit.kde.KDE1D object at 0x7fc810cf1310>,0.32879279279279405,0.15754654654654487,8.196055055055048,<pyqt_fit.kde.KDE1D object at 0x7fc810c4ea30>,0.13917317317317313,0.13917317317317313,8.126814814814807,<pyqt_fit.kde.KDE1D object at 0x7fc810c14e20>,0.06649449449449385,0.04987087087087083,8.133444444444438,<pyqt_fit.kde.KDE1D object at 0x7fc810d138b0>,0.0598598598598592,0.04476476476476421,13.468254696250888,<scipy.stats.kde.gaussian_kde object at 0x7fc810d3c0a0>,2.5681442616520442,5.260054511817437
G000.67-00.03,266.8333333333333,-28.37777777777778,0.6723936512495867,-0.031085589754245226,0.129,0.012,62.0,5.0,,,,,0.10441876712186025,<pyqt_fit.kde.KDE1D object at 0x7fc810cbf250>,0.009162992645123394,0.027183544847199412,,,,,,,,,8.121921921921913,<pyqt_fit.kde.KDE1D object at 0x7fc810c14d90>,0.05531231231231182,0.048459459459460064,8.121921921921913,<pyqt_fit.kde.KDE1D object at 0x7fc810d26820>,0.05531231231231182,0.048459459459460064,21.963401356382178,<scipy.stats.kde.gaussian_kde object at 0x7fc810d3c3d0>,5.323002360123461,4.344059397342139
G001.00-00.23,267.23035208333334,-28.196733333333334,1.0080088997502155,-0.23691464594107528,0.09,0.057,2.0,5.0,1.1436065272294402,<pyqt_fit.kde.KDE1D object at 0x7fc811156460>,0.8693485439026021,2.1951050733540702,0.15201226231503984,<pyqt_fit.kde.KDE1D object at 0x7fc810cbf3d0>,0.009033318738831814,0.020324967162371588,1.7853933933933919,<pyqt_fit.kde.KDE1D object at 0x7fc810cf1820>,1.7753933933933919,0.8761681681681674,9.337702702702694,<pyqt_fit.kde.KDE1D object at 0x7fc810c4ebb0>,0.983918918918917,2.20835135135135,9.466306306306297,<pyqt_fit.kde.KDE1D object at 0x7fc810c22940>,9.456306306306297,2.4316216216216198,8.115810810810803,<pyqt_fit.kde.KDE1D object at 0x7fc810d26dc0>,0.056938938938937866,0.04545545545545515,27.526225031155107,<scipy.stats.kde.gaussian_kde object at 0x7fc810d3c700>,4.952427217964555,5.510447186185914
G001.14-00.12,267.2022541666667,-28.019819444444447,1.1468590971627388,-0.12451539666452208,0.194,0.161,-16.0,3.0,12.410133846246337,<pyqt_fit.kde.KDE1D object at 0x7fc8111565e0>,4.198097095373253,9.195831732722363,0.17138797797987432,<pyqt_fit.kde.KDE1D object at 0x7fc810c8e520>,0.008736947966894698,0.017775170001613383,,,,,20.578192192192176,<pyqt_fit.kde.KDE1D object at 0x7fc810c4ed30>,4.17742342342342,9.204798798798791,8.099468468468462,<pyqt_fit.kde.KDE1D object at 0x7fc810c22ee0>,0.33418918918918994,0.3119099099099092,8.117244244244237,<pyqt_fit.kde.KDE1D object at 0x7fc810d0c130>,0.058368368368366674,0.04169169169169251,30.531348838393484,<scipy.stats.kde.gaussian_kde object at 0x7fc810d3c9d0>,5.527999549274931,5.151945158167791
G002.70+00.04,267.9415691666667,-26.599186111111113,2.703329806207946,0.04008424737831133,0.101,0.105,93.0,5.0,,,,,0.39225862032419445,<pyqt_fit.kde.KDE1D object at 0x7fc810caa850>,0.005433053120999953,0.009985070600756596,,,,,,,,,8.089640640640633,<pyqt_fit.kde.KDE1D object at 0x7fc810c29250>,0.055110110110110355,0.04053553553553613,8.089640640640633,<pyqt_fit.kde.KDE1D object at 0x7fc810d0c370>,0.055110110110110355,0.04053553553553613,50.65840768572484,<scipy.stats.kde.gaussian_kde object at 0x7fc810d3cc10>,5.560343479230774,5.295565218315019
G009.21-00.20,271.72017541666673,-21.074410555555556,9.214501562373684,-0.20178401986576255,0.303,0.096,43.0,5.0,3.1010057152683306,<pyqt_fit.kde.KDE1D object at 0x7fc811156760>,0.3323825651284569,0.31038666008319193,1.315799799021607,<pyqt_fit.kde.KDE1D object at 0x7fc810caaac0>,0.006744326723130412,0.0049387589389853215,4.703577577577573,<pyqt_fit.kde.KDE1D object at 0x7fc810cf1b20>,0.6133343343343336,0.3760140140140136,10.878831831831823,<pyqt_fit.kde.KDE1D object at 0x7fc810c726a0>,0.36296696696696706,0.34942342342342414,10.891991991991983,<pyqt_fit.kde.KDE1D object at 0x7fc810c29490>,6.874043043043037,0.5831941941941938,7.959573573573566,<pyqt_fit.kde.KDE1D object at 0x7fc810d0c5b0>,0.048168168168167824,0.04335135135135104,94.06432298215844,<scipy.stats.kde.gaussian_kde object at 0x7fc810d13d60>,4.517222695483568,5.21817104478275
G009.62+00.19,271.5610833333334,-20.52547222222222,9.621176471063592,0.19579350539472196,0.194,0.023,2.0,3.0,6.905782685812698,<pyqt_fit.kde.KDE1D object at 0x7fc8111568e0>,0.6225783880654294,0.5218671782313153,1.3712170326722966,<pyqt_fit.kde.KDE1D object at 0x7fc810caaf40>,0.005161214768443445,0.00701693243799606,0.01,<pyqt_fit.kde.KDE1D object at 0x7fc810cf1dc0>,0.0,0.5188468468468465,14.853780780780768,<pyqt_fit.kde.KDE1D object at 0x7fc810c60040>,0.6509429429429421,0.517061061061062,0.01,<pyqt_fit.kde.KDE1D object at 0x7fc810c296d0>,0.0,15.842127127127112,7.940659659659653,<pyqt_fit.kde.KDE1D object at 0x7fc810d0c7f0>,0.03892392392392452,0.052797797797797585,96.09899532987875,<scipy.stats.kde.gaussian_kde object at 0x7fc810d0c6a0>,4.8389590689259165,5.044872220795099
G010.32-00.15,272.2560620833333,-20.085514999999997,10.322582065798148,-0.15976309095023986,0.343,0.035,10.0,5.0,5.894420954012422,<pyqt_fit.kde.KDE1D object at 0x7fc810c9a4f0>,0.5623390822292809,0.670679639356023,1.4704652853368136,<pyqt_fit.kde.KDE1D object at 0x7fc810cba1f0>,0.0062665589139003774,0.00606276838011488,1.162887887887887,<pyqt_fit.kde.KDE1D object at 0x7fc810cf1fa0>,0.5382182182182178,0.5963213213213208,13.76278078078077,<pyqt_fit.kde.KDE1D object at 0x7fc810c60610>,0.589888888888888,0.6855465465465471,0.9637737737737729,<pyqt_fit.kde.KDE1D object at 0x7fc810c29910>,0.901749749749749,13.786366366366353,7.937243243243236,<pyqt_fit.kde.KDE1D object at 0x7fc810d0c970>,0.057253253253253256,0.035511511511511884,98.76485211499485,<scipy.stats.kde.gaussian_kde object at 0x7fc810d0ca90>,4.926194240689995,4.640617762968816
G010.47+00.02,272.1592875,-19.86396166666667,10.472275231547771,0.027186927300817815,0.117,0.008,69.0,5.0,2.2740392922436907,<pyqt_fit.kde.KDE1D object at 0x7fc810c9a8b0>,0.2112671070836294,0.21439699015153568,1.4914820961033188,<pyqt_fit.kde.KDE1D object at 0x7fc810cba430>,0.006134655756137697,0.006181845415800469,5.857680680680676,<pyqt_fit.kde.KDE1D object at 0x7fc810ca8f40>,0.23881681681681677,0.35354254254254247,9.774457457457448,<pyqt_fit.kde.KDE1D object at 0x7fc810c60970>,0.2827827827827818,0.28504504504504524,9.778085085085076,<pyqt_fit.kde.KDE1D object at 0x7fc810c29a90>,4.259301301301297,0.3909789789789784,7.922648648648641,<pyqt_fit.kde.KDE1D object at 0x7fc810d0caf0>,0.044270270270270196,0.04691891891891853,99.47704787277111,<scipy.stats.kde.gaussian_kde object at 0x7fc810d0cdc0>,5.1140795409277615,4.529613307678872
G010.62-00.33,272.57493708333334,-19.90129055555556,10.628762401846714,-0.33293427419314275,0.362,0.076,-6.0,5.0,7.985140332501803,<pyqt_fit.kde.KDE1D object at 0x7fc810c9af40>,0.8047187012780848,1.2219802500889418,1.5133106371616791,<pyqt_fit.kde.KDE1D object at 0x7fc810cba670>,0.006060916222985879,0.006352306426014254,0.01,<pyqt_fit.kde.KDE1D object at 0x7fc810cbf310>,0.0,0.3874294294294291,15.885351351351337,<pyqt_fit.kde.KDE1D object at 0x7fc810c60bb0>,0.824432432432431,1.2366486486486483,16.032438438438426,<pyqt_fit.kde.KDE1D object at 0x7fc810c29c10>,1.246702702702704,1.5006606606606603,7.9251021021020955,<pyqt_fit.kde.KDE1D object at 0x7fc810d264f0>,0.04992592592592615,0.041829829829829634,99.04738891038552,<scipy.stats.kde.gaussian_kde object at 0x7fc810d26a90>,4.117812115116692,5.367862221491393
G010.62-00.38,272.61901166666667,-19.930205,10.623443843526005,-0.3831828909830312,0.202,0.019,-3.0,5.0,7.591438035572146,<pyqt_fit.kde.KDE1D object at 0x7fc810caa130>,0.8661741344026845,0.9914041297380134,1.5124383579831617,<pyqt_fit.kde.KDE1D object at 0x7fc810cba7f0>,0.006203414786914108,0.0063122466252809595,0.01,<pyqt_fit.kde.KDE1D object at 0x7fc810cbf7c0>,0.0,0.4971011011011006,15.463777777777764,<pyqt_fit.kde.KDE1D object at 0x7fc810c60e50>,0.8664584584584585,1.0249569569569559,15.596498498498484,<pyqt_fit.kde.KDE1D object at 0x7fc810c22580>,15.586498498498484,1.4686366366366386,7.919420420420414,<pyqt_fit.kde.KDE1D object at 0x7fc810d26760>,0.04538438438438419,0.046528528528528845,100.0146025756215,<scipy.stats.kde.gaussian_kde object at 0x7fc810d1f070>,4.9636842467257765,4.45019966947828
G012.02-00.03,273.00766666666664,-18.532166666666665,12.0253782206583,-0.031360968405016364,0.106,0.008,108.0,5.0,1.7175025120268868,<pyqt_fit.kde.KDE1D object at 0x7fc810caa370>,0.024260433515902013,0.07735874083372551,1.7072968653365124,<pyqt_fit.kde.KDE1D object at 0x7fc810cba970>,0.005512579517001015,0.007938114504481453,7.318322322322316,<pyqt_fit.kde.KDE1D object at 0x7fc810cbfac0>,0.22688288288288216,0.33244644644644605,8.430201201201193,<pyqt_fit.kde.KDE1D object at 0x7fc810c76040>,0.3136046046046044,0.2325775775775778,7.876660660660654,<pyqt_fit.kde.KDE1D object at 0x7fc810c22eb0>,0.6132932932932933,0.6306506506506491,7.878703703703697,<pyqt_fit.kde.KDE1D object at 0x7fc810d26cd0>,0.04296296296296287,0.04666666666666597,104.0133167244668,<scipy.stats.kde.gaussian_kde object at 0x7fc810d1f280>,4.4132112026898085,4.725958453274131
