gname,ra,dec,glong,glat,plx,e_plx,vlsr,e_vlsr,Rgal,Rgal_kde,Rgal_err_neg,Rgal_err_pos,Rtan,Rtan_kde,Rtan_err_neg,Rtan_err_pos,near,near_kde,near_err_neg,near_err_pos,far,far_kde,far_err_neg,far_err_pos,distance,distance_kde,distance_err_neg,distance_err_pos,tangent,tangent_kde,tangent_err_neg,tangent_err_pos,vlsr_tangent,vlsr_tangent_kde,vlsr_tangent_err_neg,vlsr_tangent_err_pos
G359.13+00.03,265.85671208333326,-29.654875277777784,359.1373497015032,0.03164965568619413,0.165,0.031,-1.0,10.0,0.4766553214657576,<pyqt_fit.kde.KDE1D object at 0x7f38cc0c11c0>,0.3518122467620204,4.089817368608488,0.12534966959238375,<pyqt_fit.kde.KDE1D object at 0x7f38ca2d2580>,0.00229359504213196,0.0025802944223984603,7.595951951951945,<pyqt_fit.kde.KDE1D object at 0x7f38ca36d3a0>,2.82064264264264,0.840936936936937,9.399336336336328,<pyqt_fit.kde.KDE1D object at 0x7f38ca380940>,1.3163363363363345,3.6638028028028007,8.325545545545538,<pyqt_fit.kde.KDE1D object at 0x7f38ca3d41c0>,2.8819219219219185,2.91194194194194,8.324633633633626,<pyqt_fit.kde.KDE1D object at 0x7f38ca31a880>,0.1510430430430425,0.17262062062062178,-29.854039573437724,<scipy.stats.kde.gaussian_kde object at 0x7f38ca392520>,2.730800238874302,3.3490946325816964
G359.93-00.14,266.5079929166666,-29.066298333333336,359.9358046522043,-0.14465979579567287,0.181,0.029,-10.0,10.0,0.00902627342654489,<pyqt_fit.kde.KDE1D object at 0x7f38ca86d550>,0.0,0.5939408525666267,0.009332836315168928,<pyqt_fit.kde.KDE1D object at 0x7f38ca2d27c0>,0.00016761852162125966,0.0001965708117194799,8.271421421421415,<pyqt_fit.kde.KDE1D object at 0x7f38ca2f76a0>,0.4509509509509515,0.44193193193193103,8.436577577577571,<pyqt_fit.kde.KDE1D object at 0x7f38ca380ca0>,0.6689789789789788,0.6912782782782774,8.325545545545538,<pyqt_fit.kde.KDE1D object at 0x7f38ca3d4370>,0.3002002002001998,0.3002002002001998,8.329461461461454,<pyqt_fit.kde.KDE1D object at 0x7f38ca31aa00>,0.15360760760760783,0.17263863863863804,-6.461984223213372,<scipy.stats.kde.gaussian_kde object at 0x7f38ca392b80>,0.7072139199397247,0.5973554469393783
G000.37+00.03,266.58917166666663,-28.59439472222222,0.37587051594994725,0.03998288982206162,0.125,0.047,37.0,10.0,0.054254791934888594,<pyqt_fit.kde.KDE1D object at 0x7f38ca86d9d0>,0.0,0.2261592733528442,0.05461874023521954,<pyqt_fit.kde.KDE1D object at 0x7f38ca2d2a00>,0.0010106110156123393,0.0011202897304849954,8.257215215215208,<pyqt_fit.kde.KDE1D object at 0x7f38ca2f7940>,0.21644144144144128,0.21644144144144128,8.400129129129121,<pyqt_fit.kde.KDE1D object at 0x7f38ca380ee0>,0.28460360360360326,0.28460360360360504,8.332723723723717,<pyqt_fit.kde.KDE1D object at 0x7f38ca3d44f0>,0.15929729729729658,0.15929729729729658,8.32532732732732,<pyqt_fit.kde.KDE1D object at 0x7f38ca326190>,0.15298498498498603,0.17210810810810706,18.522231886955428,<scipy.stats.kde.gaussian_kde object at 0x7f38ca392430>,1.9094740462604243,1.7971520435392243
G000.67-00.03,266.8333333333333,-28.37777777777778,0.6723936512495867,-0.031085589754245226,0.129,0.012,62.0,5.0,,,,,0.09740799241896775,<pyqt_fit.kde.KDE1D object at 0x7f38ca2d2c40>,0.001391382761494378,0.0024454606111113386,,,,,,,,,8.299907907907901,<pyqt_fit.kde.KDE1D object at 0x7f38ca3cdf40>,0.11852252252252349,0.2083123123123123,8.299907907907901,<pyqt_fit.kde.KDE1D object at 0x7f38ca326c40>,0.11852252252252349,0.2083123123123123,25.59423229118092,<scipy.stats.kde.gaussian_kde object at 0x7f38ca3ac460>,2.474489938588121,2.8410810406011784
G001.00-00.23,267.23035208333334,-28.196733333333334,1.0080088997502155,-0.23691464594107528,0.09,0.057,2.0,5.0,2.830010680926426,<pyqt_fit.kde.KDE1D object at 0x7f38ca86db50>,1.887524971395375,3.8835283894226684,0.14704237273107382,<pyqt_fit.kde.KDE1D object at 0x7f38ca2d2dc0>,0.0032160383090375777,0.002519571414086763,5.8040820820820755,<pyqt_fit.kde.KDE1D object at 0x7f38ca2f7eb0>,2.8888108108108073,1.3909089089089077,11.151942942942934,<pyqt_fit.kde.KDE1D object at 0x7f38ca35b0d0>,1.9263983983983977,4.006033033033029,8.325545545545538,<pyqt_fit.kde.KDE1D object at 0x7f38ca3d4c70>,5.223483483483479,5.253503503503499,8.357022022022015,<pyqt_fit.kde.KDE1D object at 0x7f38ca346040>,0.18277377377377313,0.14319219219219192,32.17407428337683,<scipy.stats.kde.gaussian_kde object at 0x7f38ca3ac6d0>,3.0854025144806982,3.538305635872355
G001.14-00.12,267.2022541666667,-28.019819444444447,1.1468590971627388,-0.12451539666452208,0.194,0.161,-16.0,3.0,,,,,0.16692613232209666,<pyqt_fit.kde.KDE1D object at 0x7f38ca308dc0>,0.0032556605766959623,0.0031177088573444145,,,,,,,,,8.339670670670664,<pyqt_fit.kde.KDE1D object at 0x7f38ca3db130>,0.16390790790790888,0.15426626626626572,8.339670670670664,<pyqt_fit.kde.KDE1D object at 0x7f38ca3463a0>,0.16390790790790888,0.15426626626626572,34.75610284996218,<scipy.stats.kde.gaussian_kde object at 0x7f38ca3ac910>,3.697214039343727,3.461936782294579
G002.70+00.04,267.9415691666667,-26.599186111111113,2.703329806207946,0.04008424737831133,0.101,0.105,93.0,5.0,,,,,0.3937213902274035,<pyqt_fit.kde.KDE1D object at 0x7f38ca36d490>,0.00803396477138929,0.007369084928239733,,,,,,,,,8.33735735735735,<pyqt_fit.kde.KDE1D object at 0x7f38ca3db550>,0.16893693693693557,0.1572052052052051,8.33735735735735,<pyqt_fit.kde.KDE1D object at 0x7f38ca3465e0>,0.16893693693693557,0.1572052052052051,55.674995541312555,<scipy.stats.kde.gaussian_kde object at 0x7f38ca3acb80>,6.279253152769762,5.632859445866984
G009.21-00.20,271.72017541666673,-21.074410555555556,9.214501562373684,-0.20178401986576255,0.303,0.096,43.0,5.0,3.5194101970879688,<pyqt_fit.kde.KDE1D object at 0x7f38ca86dcd0>,0.437061487179621,0.4512748688765189,1.3374335741216552,<pyqt_fit.kde.KDE1D object at 0x7f38ca36d8e0>,0.027010461271304242,0.024609531380521688,4.94831431431431,<pyqt_fit.kde.KDE1D object at 0x7f38ca2ec100>,0.4616776776776774,0.49465465465465464,11.437838838838829,<pyqt_fit.kde.KDE1D object at 0x7f38ca30dd60>,0.46172672672672554,0.5980460460460453,4.95835435435435,<pyqt_fit.kde.KDE1D object at 0x7f38ca3db790>,0.6586426426426426,7.203903903903898,8.244552552552545,<pyqt_fit.kde.KDE1D object at 0x7f38ca3467c0>,0.16648648648648567,0.15168768768768892,97.96545025004673,<scipy.stats.kde.gaussian_kde object at 0x7f38ca346af0>,8.988873277768391,13.376299520488658
G009.62+00.19,271.5610833333334,-20.52547222222222,9.621176471063592,0.19579350539472196,0.194,0.023,2.0,3.0,7.83542366012151,<pyqt_fit.kde.KDE1D object at 0x7f38ca86de50>,0.6555141274099139,0.7404881809630517,1.3901603687635515,<pyqt_fit.kde.KDE1D object at 0x7f38ca36db20>,0.02304124584028311,0.030721661120377552,0.4354314314314311,<pyqt_fit.kde.KDE1D object at 0x7f38ca2ec3a0>,0.4254314314314311,0.46437937937937895,15.98524324324323,<pyqt_fit.kde.KDE1D object at 0x7f38ca30b3d0>,0.7657117117117114,0.7526226226226225,0.01,<pyqt_fit.kde.KDE1D object at 0x7f38ca3db9d0>,0.0,17.084846846846833,8.200701701701695,<pyqt_fit.kde.KDE1D object at 0x7f38ca346a00>,0.13600600600600643,0.18134134134134072,102.58447724142832,<scipy.stats.kde.gaussian_kde object at 0x7f38ca3ba160>,13.04031595852959,9.983991905749193
G010.32-00.15,272.2560620833333,-20.085514999999997,10.322582065798148,-0.15976309095023986,0.343,0.035,10.0,5.0,6.54089480665722,<pyqt_fit.kde.KDE1D object at 0x7f38ca364be0>,0.5939297047169001,0.9190280694040451,1.4938880095006821,<pyqt_fit.kde.KDE1D object at 0x7f38ca36ddc0>,0.02885567616139717,0.029071017028273527,1.740266266266265,<pyqt_fit.kde.KDE1D object at 0x7f38ca2ec580>,0.7952032032032026,0.6633353353353344,14.495097097097085,<pyqt_fit.kde.KDE1D object at 0x7f38ca30bac0>,0.561641641641641,1.0759159159159157,1.5657837837837827,<pyqt_fit.kde.KDE1D object at 0x7f38ca3dbc10>,1.0371891891891885,14.328576576576566,8.201730730730723,<pyqt_fit.kde.KDE1D object at 0x7f38ca346b80>,0.15723023023022975,0.1607767767767765,102.2271171376173,<scipy.stats.kde.gaussian_kde object at 0x7f38ca3ba6d0>,10.503463692162555,12.95754399406971
