gname,ra,dec,glong,glat,plx,e_plx,vlsr,e_vlsr,Rgal,Rgal_kde,Rgal_err_neg,Rgal_err_pos,Rtan,Rtan_kde,Rtan_err_neg,Rtan_err_pos,near,near_kde,near_err_neg,near_err_pos,far,far_kde,far_err_neg,far_err_pos,distance,distance_kde,distance_err_neg,distance_err_pos,tangent,tangent_kde,tangent_err_neg,tangent_err_pos,vlsr_tangent,vlsr_tangent_kde,vlsr_tangent_err_neg,vlsr_tangent_err_pos
G359.13+00.03,265.85671208333326,-29.654875277777784,359.1373497015032,0.03164965568619413,0.165,0.031,-1.0,10.0,0.74402928974162,<pyqt_fit.kde.KDE1D object at 0x7f8200911df0>,0.6099378779126933,5.489440901214239,0.13320841127178218,<pyqt_fit.kde.KDE1D object at 0x7f81fab6ed00>,0.009138195291724646,0.01979942313207006,7.701450450450444,<pyqt_fit.kde.KDE1D object at 0x7f81fac149d0>,1.849630630630629,0.6695495495495489,9.644909909909902,<pyqt_fit.kde.KDE1D object at 0x7f81fac1cc10>,1.4399099099099093,4.974234234234229,7.965305305305298,<pyqt_fit.kde.KDE1D object at 0x7f81fac431c0>,3.212142142142139,1.9212812812812796,8.230365365365358,<pyqt_fit.kde.KDE1D object at 0x7f81fabfd070>,0.04339439439439374,0.04790290290290322,-27.88653615186786,<scipy.stats.kde.gaussian_kde object at 0x7f81fab957c0>,4.553768715009724,5.3312414224504145
G359.93-00.14,266.5079929166666,-29.066298333333336,359.9358046522043,-0.14465979579567287,0.181,0.029,-10.0,10.0,0.009970016092939326,<pyqt_fit.kde.KDE1D object at 0x7f82000c8880>,0.0,1.139474315270377,0.015574026929672032,<pyqt_fit.kde.KDE1D object at 0x7f81fab6ef40>,0.006371736486174295,0.03982335303858935,8.156702702702693,<pyqt_fit.kde.KDE1D object at 0x7f82000c8b20>,0.1760090090090083,0.17600900900900918,8.419724724724716,<pyqt_fit.kde.KDE1D object at 0x7f81fac1cdf0>,0.3067247247247238,1.752712712712711,8.205465465465458,<pyqt_fit.kde.KDE1D object at 0x7f81fac43370>,0.3002002002001998,0.3302202202202196,8.192513513513507,<pyqt_fit.kde.KDE1D object at 0x7f81fabfd1f0>,0.03935135135135148,0.04843243243243123,-8.577604145966028,<scipy.stats.kde.gaussian_kde object at 0x7f81fab95ca0>,3.3263930272743742,2.51648863802496
G000.37+00.03,266.58917166666663,-28.59439472222222,0.37587051594994725,0.03998288982206162,0.125,0.047,37.0,10.0,0.05326519331341977,<pyqt_fit.kde.KDE1D object at 0x7f82000c8910>,0.0,0.12215085328161629,0.06354834147017077,<pyqt_fit.kde.KDE1D object at 0x7f81fab3ef40>,0.009681755628390958,0.029762433968757385,8.037493493493486,<pyqt_fit.kde.KDE1D object at 0x7f81fab490a0>,0.21426826826826684,0.14450650650650765,8.182700700700693,<pyqt_fit.kde.KDE1D object at 0x7f81fac1cfd0>,0.134114114114114,0.134114114114114,8.11852652652652,<pyqt_fit.kde.KDE1D object at 0x7f81fac434f0>,0.05491091091090894,0.04118318318318437,8.122028028028021,<pyqt_fit.kde.KDE1D object at 0x7f81fabd3df0>,0.05323223223223117,0.037809809809809636,15.733340059242966,<scipy.stats.kde.gaussian_kde object at 0x7f81fab8a130>,2.9668248200350664,4.734294925587868
G000.67-00.03,266.8333333333333,-28.37777777777778,0.6723936512495867,-0.031085589754245226,0.129,0.012,62.0,5.0,,,,,0.10602405332020594,<pyqt_fit.kde.KDE1D object at 0x7f81fab781c0>,0.009869479821124544,0.023028786249290598,,,,,,,,,8.104957957957952,<pyqt_fit.kde.KDE1D object at 0x7f81fabbb4c0>,0.04576576576576663,0.044240240240240425,8.104957957957952,<pyqt_fit.kde.KDE1D object at 0x7f81fabc15b0>,0.04576576576576663,0.044240240240240425,22.42062040802774,<scipy.stats.kde.gaussian_kde object at 0x7f81fab8a3d0>,3.835945758414379,5.293010426339219
G001.00-00.23,267.23035208333334,-28.196733333333334,1.0080088997502155,-0.23691464594107528,0.09,0.057,2.0,5.0,1.1007106837263776,<pyqt_fit.kde.KDE1D object at 0x7f82000c8a90>,0.8048204207054199,2.0229270033947038,0.15416595637104535,<pyqt_fit.kde.KDE1D object at 0x7f81fab78340>,0.009237859876271404,0.017859862427458018,0.01,<pyqt_fit.kde.KDE1D object at 0x7f81fab49670>,0.0,4.136228228228225,9.280903903903896,<pyqt_fit.kde.KDE1D object at 0x7f81fac37f40>,0.9267327327327326,2.0520510510510483,9.376246246246238,<pyqt_fit.kde.KDE1D object at 0x7f81fac43e20>,9.366246246246238,3.7825225225225196,8.09851851851851,<pyqt_fit.kde.KDE1D object at 0x7f81fabcb340>,0.04911111111110955,0.03900000000000148,29.90244500710535,<scipy.stats.kde.gaussian_kde object at 0x7f81fab8a640>,5.3056573221152945,4.4462902910684505
G001.14-00.12,267.2022541666667,-28.019819444444447,1.1468590971627388,-0.12451539666452208,0.194,0.161,-16.0,3.0,12.625511559279891,<pyqt_fit.kde.KDE1D object at 0x7f82000c8c10>,3.1404188602943837,6.262579471401013,0.17345857120028188,<pyqt_fit.kde.KDE1D object at 0x7f81fab6eca0>,0.008307485111848367,0.01765340586267783,,,,,20.84227827827826,<pyqt_fit.kde.KDE1D object at 0x7f81fac27100>,3.186086086086082,6.190110110110105,8.070685685685678,<pyqt_fit.kde.KDE1D object at 0x7f81fac52130>,0.28942242242242155,0.31168568568568666,8.097910910910905,<pyqt_fit.kde.KDE1D object at 0x7f81fabcb640>,0.0508808808808805,0.03716516516516499,31.300483303703995,<scipy.stats.kde.gaussian_kde object at 0x7f81fab8a8e0>,4.505514604299034,5.510341602380112
G002.70+00.04,267.9415691666667,-26.599186111111113,2.703329806207946,0.04008424737831133,0.101,0.105,93.0,5.0,,,,,0.39494787807397874,<pyqt_fit.kde.KDE1D object at 0x7f81fab78ac0>,0.006324463184995466,0.009101056778408168,,,,,,,,,8.065183183183176,<pyqt_fit.kde.KDE1D object at 0x7f81fac52550>,0.046162162162161735,0.03633133133133093,8.065183183183176,<pyqt_fit.kde.KDE1D object at 0x7f81fabcb880>,0.046162162162161735,0.03633133133133093,51.63050580837742,<scipy.stats.kde.gaussian_kde object at 0x7f81fab8ab20>,4.903740843900124,5.248535121986862
G009.21-00.20,271.72017541666673,-21.074410555555556,9.214501562373684,-0.20178401986576255,0.303,0.096,43.0,5.0,3.0606174228788605,<pyqt_fit.kde.KDE1D object at 0x7f82000c8d90>,0.31526625842020506,0.30533661248571065,1.3135681871923865,<pyqt_fit.kde.KDE1D object at 0x7f81fab78610>,0.00471861489508596,0.007103291239914045,4.539472472472468,<pyqt_fit.kde.KDE1D object at 0x7f81fab499d0>,0.3630190190190188,0.40839639639639636,10.82221921921921,<pyqt_fit.kde.KDE1D object at 0x7f81fac31310>,0.3393553553553552,0.3503023023023015,10.836189189189177,<pyqt_fit.kde.KDE1D object at 0x7f81fac52790>,6.851259259259251,0.5652532532532533,7.924688688688682,<pyqt_fit.kde.KDE1D object at 0x7f81fabcba60>,0.03687787787787755,0.03909609609609621,94.28888156181038,<scipy.stats.kde.gaussian_kde object at 0x7f81fabf4430>,4.1224804762393745,5.042677011114236
G009.62+00.19,271.5610833333334,-20.52547222222222,9.621176471063592,0.19579350539472196,0.194,0.023,2.0,3.0,6.8260902063704005,<pyqt_fit.kde.KDE1D object at 0x7f82000c8f10>,0.5728522546118011,0.4853331601572197,1.3713598020289752,<pyqt_fit.kde.KDE1D object at 0x7f81fac043d0>,0.005606252151914903,0.00631815718707851,0.01,<pyqt_fit.kde.KDE1D object at 0x7f81fab49c10>,0.0,0.36131231231231203,14.748295295295284,<pyqt_fit.kde.KDE1D object at 0x7f81fabe3a30>,0.5899819819819818,0.48755455455455454,14.740259259259247,<pyqt_fit.kde.KDE1D object at 0x7f81fac529d0>,14.730259259259247,1.0631851851851852,7.920840840840834,<pyqt_fit.kde.KDE1D object at 0x7f81fabcbca0>,0.0436936936936938,0.031168168168168364,96.48451839933168,<scipy.stats.kde.gaussian_kde object at 0x7f81fabf4a00>,4.742558823001644,4.215607842668149
G010.32-00.15,272.2560620833333,-20.085514999999997,10.322582065798148,-0.15976309095023986,0.343,0.035,10.0,5.0,5.832715988290804,<pyqt_fit.kde.KDE1D object at 0x7f81fab494c0>,0.5468356793988285,0.641741045244907,1.4695992244243443,<pyqt_fit.kde.KDE1D object at 0x7f81fac04610>,0.0056901096124106765,0.006555006273497144,0.9554814814814807,<pyqt_fit.kde.KDE1D object at 0x7f81fab49df0>,0.6899459459459454,0.5366246246246242,13.679435435435424,<pyqt_fit.kde.KDE1D object at 0x7f81fabd1100>,0.5603363363363361,0.6639279279279275,0.32514514514514486,<pyqt_fit.kde.KDE1D object at 0x7f81fac52c10>,0.31514514514514486,14.397157157157144,7.8962392392392315,<pyqt_fit.kde.KDE1D object at 0x7f81fabcbe20>,0.037429429429429284,0.039863863863864424,99.00590185774868,<scipy.stats.kde.gaussian_kde object at 0x7f81fabf4ee0>,4.6752659989134315,4.279666568236138
