gname,ra,dec,glong,glat,plx,e_plx,vlsr,e_vlsr,Rgal,Rgal_kde,Rgal_err_neg,Rgal_err_pos,Rtan,Rtan_kde,Rtan_err_neg,Rtan_err_pos,near,near_kde,near_err_neg,near_err_pos,far,far_kde,far_err_neg,far_err_pos,distance,distance_kde,distance_err_neg,distance_err_pos,tangent,tangent_kde,tangent_err_neg,tangent_err_pos,vlsr_tangent,vlsr_tangent_kde,vlsr_tangent_err_neg,vlsr_tangent_err_pos
G359.13+00.03,265.85671208333326,-29.654875277777784,359.1373497015032,0.03164965568619413,0.165,0.031,-1.0,10.0,0.1702152809940691,<pyqt_fit.kde.KDE1D object at 0x7fd294e06a90>,0.0,5.253330167187291,0.13338007926206716,<pyqt_fit.kde.KDE1D object at 0x7fd294d78dc0>,0.010637983314146504,0.023313027262916786,7.606792792792786,<pyqt_fit.kde.KDE1D object at 0x7fd294d81cd0>,2.0864104104104086,0.8132072072072072,9.705165165165157,<pyqt_fit.kde.KDE1D object at 0x7fd294db1160>,1.3891651651651635,4.53649249249249,8.025743743743737,<pyqt_fit.kde.KDE1D object at 0x7fd29ee62be0>,2.713239239239237,2.474712712712712,8.236323323323317,<pyqt_fit.kde.KDE1D object at 0x7fd29eea0b50>,0.046892892892893556,0.05881481481481465,-25.218488970907604,<scipy.stats.kde.gaussian_kde object at 0x7fd29ee41d90>,6.6818403793539325,4.026237151661988
G359.93-00.14,266.5079929166666,-29.066298333333336,359.9358046522043,-0.14465979579567287,0.181,0.029,-10.0,10.0,0.015069670390434562,<pyqt_fit.kde.KDE1D object at 0x7fd294e09220>,0.0,1.3542242228213732,0.009330540011692031,<pyqt_fit.kde.KDE1D object at 0x7fd294de5af0>,0.0,0.11457976020685148,8.11842542542542,<pyqt_fit.kde.KDE1D object at 0x7fd294dd8e80>,8.10542542542542,0.25957457457457345,8.399789789789782,<pyqt_fit.kde.KDE1D object at 0x7fd294db13a0>,0.2847897897897891,2.1249699699699693,8.235485485485478,<pyqt_fit.kde.KDE1D object at 0x7fd29ee62dc0>,0.7805205205205201,0.7805205205205201,8.22629729729729,<pyqt_fit.kde.KDE1D object at 0x7fd29eea0cd0>,0.13708108108107986,0.14564864864864902,-8.580273411523308,<scipy.stats.kde.gaussian_kde object at 0x7fd29ee3bf10>,3.0321952866163784,3.292097739754926
G000.37+00.03,266.58917166666663,-28.59439472222222,0.37587051594994725,0.03998288982206162,0.125,0.047,37.0,10.0,0.054334893485274656,<pyqt_fit.kde.KDE1D object at 0x7fd294e09370>,0.0009176702486408186,0.07066060914534322,0.05737240667237521,<pyqt_fit.kde.KDE1D object at 0x7fd294d81250>,0.003931400867180086,0.09828502167950216,7.980391391391384,<pyqt_fit.kde.KDE1D object at 0x7fd294de59a0>,5.739764764764759,0.1836086086086084,8.204569569569562,<pyqt_fit.kde.KDE1D object at 0x7fd294db15e0>,0.07574774774774795,0.0767997997998009,8.11225925925925,<pyqt_fit.kde.KDE1D object at 0x7fd29ee62f40>,0.1971851851851838,0.20614814814814864,8.11832732732732,<pyqt_fit.kde.KDE1D object at 0x7fd29eeb1430>,0.09248348348348223,0.08846246246246281,14.173379572318275,<scipy.stats.kde.gaussian_kde object at 0x7fd29ee4f2b0>,3.09631077803213,4.72594802962799
G000.67-00.03,266.8333333333333,-28.37777777777778,0.6723936512495867,-0.031085589754245226,0.129,0.012,62.0,5.0,,,,,0.10700071306241152,<pyqt_fit.kde.KDE1D object at 0x7fd294d813d0>,0.011257260748810574,0.029816528469822606,,,,,,,,,8.12733733733733,<pyqt_fit.kde.KDE1D object at 0x7fd29ee56160>,0.06890090090089984,0.03923523523523542,8.12733733733733,<pyqt_fit.kde.KDE1D object at 0x7fd29eeb1af0>,0.06890090090089984,0.03923523523523542,20.80516001926278,<scipy.stats.kde.gaussian_kde object at 0x7fd29ee4f580>,4.223790218144739,5.291875100893982
G001.00-00.23,267.23035208333334,-28.196733333333334,1.0080088997502155,-0.23691464594107528,0.09,0.057,2.0,5.0,0.14392654726246268,<pyqt_fit.kde.KDE1D object at 0x7fd294e095b0>,0.0,2.954758473040977,0.15359628721744176,<pyqt_fit.kde.KDE1D object at 0x7fd294d81550>,0.01093939395243379,0.022316363662964966,1.8661801801801787,<pyqt_fit.kde.KDE1D object at 0x7fd294de5d30>,1.6363693693693682,1.5549579579579564,9.239324324324317,<pyqt_fit.kde.KDE1D object at 0x7fd294db1820>,1.1863243243243229,2.4824934934934912,8.805865865865858,<pyqt_fit.kde.KDE1D object at 0x7fd29ee72700>,8.525685685685678,2.4316216216216198,8.116979979979973,<pyqt_fit.kde.KDE1D object at 0x7fd29eeb1e50>,0.05997697697697646,0.046136136136135875,26.625670252567595,<scipy.stats.kde.gaussian_kde object at 0x7fd29ee4f790>,4.419790134512795,6.253852707337835
G001.14-00.12,267.2022541666667,-28.019819444444447,1.1468590971627388,-0.12451539666452208,0.194,0.161,-16.0,3.0,4.254711985994533,<pyqt_fit.kde.KDE1D object at 0x7fd294e09790>,3.0470071181863996,7.3212809923089885,0.17316760310950333,<pyqt_fit.kde.KDE1D object at 0x7fd294d81a00>,0.009990055886990229,0.018630104221684485,0.3515125125125122,<pyqt_fit.kde.KDE1D object at 0x7fd294de5340>,0.2645125125125123,1.2214254254254242,12.788688688688676,<pyqt_fit.kde.KDE1D object at 0x7fd294db19a0>,3.26421421421421,7.164314314314307,8.111708708708703,<pyqt_fit.kde.KDE1D object at 0x7fd29ee72ac0>,1.6468618618618613,1.7067477477477464,8.110594594594588,<pyqt_fit.kde.KDE1D object at 0x7fd29eea9a30>,0.057307307307308264,0.04676276276276248,30.512422452918766,<scipy.stats.kde.gaussian_kde object at 0x7fd29ee4f9a0>,5.905995572490898,4.878865907709869
G002.70+00.04,267.9415691666667,-26.599186111111113,2.703329806207946,0.04008424737831133,0.101,0.105,93.0,5.0,,,,,0.39276003501104956,<pyqt_fit.kde.KDE1D object at 0x7fd294d81f10>,0.0059702392484642375,0.010234695854510034,,,,,,,,,8.08289789789789,<pyqt_fit.kde.KDE1D object at 0x7fd29ee72e20>,0.04890890890890809,0.046463463463464194,8.08289789789789,<pyqt_fit.kde.KDE1D object at 0x7fd29ee3b1c0>,0.04890890890890809,0.046463463463464194,50.59020780264254,<scipy.stats.kde.gaussian_kde object at 0x7fd29ee4fbb0>,5.570533400804656,5.361638398274479
G009.21-00.20,271.72017541666673,-21.074410555555556,9.214501562373684,-0.20178401986576255,0.303,0.096,43.0,5.0,2.8682183040405933,<pyqt_fit.kde.KDE1D object at 0x7fd294e09970>,0.35647957734233726,0.6908763490086001,1.3147056472182108,<pyqt_fit.kde.KDE1D object at 0x7fd294d8b190>,0.006953949772450008,0.004967106980321212,4.719966966966963,<pyqt_fit.kde.KDE1D object at 0x7fd294def1f0>,0.9992412412412404,0.5968918918918913,10.650496496496487,<pyqt_fit.kde.KDE1D object at 0x7fd29ee889a0>,0.4143603603603605,0.750806806806807,10.860487487487479,<pyqt_fit.kde.KDE1D object at 0x7fd29ee62b80>,7.354133133133128,0.986396396396394,7.94957657657657,<pyqt_fit.kde.KDE1D object at 0x7fd29ee3b3a0>,0.031549549549549916,0.05881081081081163,94.17830635519091,<scipy.stats.kde.gaussian_kde object at 0x7fd29eea9550>,4.933385331075712,5.019935950919134
G009.62+00.19,271.5610833333334,-20.52547222222222,9.621176471063592,0.19579350539472196,0.194,0.023,2.0,3.0,6.39039495535014,<pyqt_fit.kde.KDE1D object at 0x7fd294e09bb0>,0.9229278751782131,1.8024238503480392,1.3690977475166846,<pyqt_fit.kde.KDE1D object at 0x7fd294d8b5b0>,0.003958722411980142,0.007876633252702492,0.8284184184184178,<pyqt_fit.kde.KDE1D object at 0x7fd294def3d0>,0.812572572572572,0.42966966966966935,14.323943943943933,<pyqt_fit.kde.KDE1D object at 0x7fd29ee925e0>,0.9587417417417416,1.818303303303301,0.01,<pyqt_fit.kde.KDE1D object at 0x7fd29edfb0d0>,0.0,16.616600600600584,7.948356356356349,<pyqt_fit.kde.KDE1D object at 0x7fd29ee3b580>,0.035415415415415374,0.05129129129129151,96.36493034712073,<scipy.stats.kde.gaussian_kde object at 0x7fd29eeb1c40>,5.333983592719122,4.515887949664034
G010.32-00.15,272.2560620833333,-20.085514999999997,10.322582065798148,-0.15976309095023986,0.343,0.035,10.0,5.0,5.696864692555279,<pyqt_fit.kde.KDE1D object at 0x7fd294def0d0>,0.9070128340002483,1.2328329782527652,1.4699919163049335,<pyqt_fit.kde.KDE1D object at 0x7fd294d8b7f0>,0.006882188339301321,0.006012026595251685,1.4416756756756746,<pyqt_fit.kde.KDE1D object at 0x7fd294def610>,0.7798558558558553,0.7216576576576568,13.562096096096084,<pyqt_fit.kde.KDE1D object at 0x7fd29ee92a90>,0.9520420420420415,1.260322322322322,0.7463603603603597,<pyqt_fit.kde.KDE1D object at 0x7fd29edfb310>,0.7363603603603597,14.461299299299286,7.9359009009008945,<pyqt_fit.kde.KDE1D object at 0x7fd29ee3b700>,0.046351351351352044,0.04509009009008924,98.62249446297727,<scipy.stats.kde.gaussian_kde object at 0x7fd29ee3b0a0>,5.103602905389238,4.525836538741402
