gname,alias,glong,glat,plx,e_plx,mux,e_mux,muy,e_muy,vlsr,e_vlsr,Upec,Vpec,is_tooclose,is_outlier
G359.13+00.03,,359.1373497015032,0.03164965568619413,0.165,0.031,-3.98,0.36,-6.5,0.79,-1.0,10.0,-2.69622012037792,-146.7490277755032,1,0
G359.93-00.14,,359.9358046522043,-0.14465979579567287,0.181,0.029,-1.33,0.44,-1.8,0.78,-10.0,10.0,-9.438437024550549,-5.1500138088457845,1,0
G000.37+00.03,,0.37587051594994725,0.03998288982206162,0.125,0.047,-0.77,0.28,-2.67,0.4,37.0,10.0,-4.317803544486283,108.0934268859626,1,0
G000.67-00.03,SgrB2,0.6723936512495867,-0.031085589754245226,0.129,0.012,-0.78,0.4,-4.26,0.4,62.0,5.0,41.68217262324871,39.060557759720865,1,0
G001.00-00.23,,1.0080088997502155,-0.23691464594107528,0.09,0.057,-3.87,0.28,-6.23,0.56,2.0,5.0,0.5463034459067868,-63.17005368226296,1,0
G001.14-00.12,,1.1468590971627388,-0.12451539666452208,0.194,0.161,0.82,0.33,-3.59,0.69,-16.0,3.0,-21.225673873897765,-23.164585239271105,1,0
G002.70+00.04,,2.703329806207946,0.04008424737831133,0.101,0.105,-3.13,0.87,-9.36,1.24,93.0,5.0,-56.70251768070302,63.33902246472843,1,0
G009.21-00.20,,9.214501562373684,-0.20178401986576255,0.303,0.096,-0.41,0.45,-1.69,0.5,43.0,5.0,20.18355779327328,-3.136608587137971,0,0
G009.62+00.19,,9.621176471063592,0.19579350539472196,0.194,0.023,-0.58,0.13,-2.49,0.29,2.0,3.0,-40.411427864978805,-26.770785368936686,1,0
G010.32-00.15,,10.322582065798148,-0.15976309095023986,0.343,0.035,-1.03,0.36,-2.42,0.5,10.0,5.0,-6.672256253946046,-23.581369810020902,0,0
G010.47+00.02,,10.472275231547771,0.027186927300817815,0.117,0.008,-3.86,0.19,-6.4,0.14,69.0,5.0,22.297424074118425,-25.40952417313747,1,0
G010.62-00.33,,10.628762401846714,-0.33293427419314275,0.362,0.076,-0.36,0.39,-1.86,0.38,-6.0,5.0,-24.3209864982226,-16.54935085680637,0,1
G010.62-00.38,,10.623443843526005,-0.3831828909830312,0.202,0.019,-0.37,0.5,-0.6,0.25,-3.0,5.0,-62.66183047033337,5.69133730322892,1,0
G012.02-00.03,,12.0253782206583,-0.031360968405016364,0.106,0.008,-4.11,0.11,-7.76,0.28,108.0,5.0,16.269376297903392,38.43625489639868,1,0
G015.66-00.49,,15.665337907741977,-0.4989202772567488,0.22,0.029,-1.16,0.24,-5.3,0.3,-4.0,5.0,-19.133570208816742,-88.44905972578064,1,0
G016.86-02.15,,16.863852816256305,-2.158718684011113,0.426,0.092,0.32,0.49,-2.48,0.56,17.0,3.0,-6.576079020628858,-10.502989049857263,0,0
G017.02-02.40,,17.02111143842585,-2.4026814379453247,0.531,0.108,0.1,0.61,-2.81,0.76,22.0,3.0,4.200037696649797,-8.2866297035373,0,0
G019.00-00.02,,19.00861898230549,-0.02927879524970525,0.247,0.063,-1.77,0.29,-4.0,0.42,56.0,5.0,20.729337749859955,-33.58790749021463,0,1
