gname,alias,glong,glat,plx,e_plx,mux,e_mux,muy,e_muy,vlsr,e_vlsr,Upec,Vpec,Wpec,is_tooclose,is_outlier
G359.13+00.03,,359.1373497015032,0.03164965568619413,0.165,0.031,-3.98,0.36,-6.5,0.79,-1.0,10.0,-2.2783497246557154,-146.87827562033098,7.366435703234838,1,0
G359.93-00.14,,359.9358046522043,-0.14465979579567287,0.181,0.029,-1.33,0.44,-1.8,0.78,-10.0,10.0,-9.488378355658774,-9.815442121432483,13.110167705305855,1,0
G000.37+00.03,,0.37587051594994725,0.03998288982206162,0.125,0.047,-0.77,0.28,-2.67,0.4,37.0,10.0,33.358785472021744,10.059281327927067,-14.438141506111073,1,0
G000.67-00.03,SgrB2,0.6723936512495867,-0.031085589754245226,0.129,0.012,-0.78,0.4,-4.26,0.4,62.0,5.0,46.72763768275771,27.41392416535733,-47.63111127340231,1,0
G001.00-00.23,,1.0080088997502155,-0.23691464594107528,0.09,0.057,-3.87,0.28,-6.23,0.56,2.0,5.0,7.11385149659147,-115.1607550278105,11.784249515296887,1,0
G001.14-00.12,,1.1468590971627388,-0.12451539666452208,0.194,0.161,0.82,0.33,-3.59,0.69,-16.0,3.0,-17.835023145995095,-24.793569647314342,-26.982559452734243,1,0
G002.70+00.04,,2.703329806207946,0.04008424737831133,0.101,0.105,-3.13,0.87,-9.36,1.24,93.0,5.0,100.39464244165131,-174.58501645801806,-39.625558361751594,1,0
G009.21-00.20,,9.214501562373684,-0.20178401986576255,0.303,0.096,-0.41,0.45,-1.69,0.5,43.0,5.0,24.676949064912282,-2.5979516119529933,1.72660138339121,0,0
G009.62+00.19,,9.621176471063592,0.19579350539472196,0.194,0.023,-0.58,0.13,-2.49,0.29,2.0,3.0,-37.874800352209576,-27.364460183167296,-8.839739982968943,1,0
G010.32-00.15,,10.322582065798148,-0.15976309095023986,0.343,0.035,-1.03,0.36,-2.42,0.5,10.0,5.0,-6.23981554289042,-23.132197130584984,4.401025997140399,0,0
G010.47+00.02,,10.472275231547771,0.027186927300817815,0.117,0.008,-3.86,0.19,-6.4,0.14,69.0,5.0,25.611294865912672,-26.177738050704747,18.88676020505776,1,0
G010.62-00.33,,10.628762401846714,-0.33293427419314275,0.362,0.076,-0.36,0.39,-1.86,0.38,-6.0,5.0,-22.580314657551288,-15.350984017146828,1.136327872510841,0,1
G010.62-00.38,,10.623443843526005,-0.3831828909830312,0.202,0.019,-0.37,0.5,-0.6,0.25,-3.0,5.0,-60.461195331456786,5.10923509811758,8.984937726058806,1,0
G012.02-00.03,,12.0253782206583,-0.031360968405016364,0.106,0.008,-4.11,0.11,-7.76,0.28,108.0,5.0,20.929542712143988,37.53840047384821,2.2486527140982915,1,0
G015.66-00.49,,15.665337907741977,-0.4989202772567488,0.22,0.029,-1.16,0.24,-5.3,0.3,-4.0,5.0,-18.409088022203797,-86.67845665443252,-22.486905771973714,1,0
G016.86-02.15,,16.863852816256305,-2.158718684011113,0.426,0.092,0.32,0.49,-2.48,0.56,17.0,3.0,-4.5042088051719915,-9.104693947747421,-6.7014892832704955,0,0
G017.02-02.40,,17.02111143842585,-2.4026814379453247,0.531,0.108,0.1,0.61,-2.81,0.76,22.0,3.0,5.43155422884998,-6.9748557045802215,-3.74963479544388,0,0
G019.00-00.02,,19.00861898230549,-0.02927879524970525,0.247,0.063,-1.77,0.29,-4.0,0.42,56.0,5.0,25.865639312608135,-30.47233761904363,2.8205357851747115,0,1
G019.36-00.03,,19.364794581204375,-0.030218659385238107,0.352,0.069,-1.12,0.38,-2.5,0.46,27.0,3.0,-0.5728591356196344,-15.32159889036086,5.8570709303778115,0,0
G019.49+00.11,,19.495878629696847,0.11540813737933626,0.326,0.1,-3.6,0.42,-8.2,1.03,121.0,5.0,118.91977598506764,-38.938479203334964,0.17661107562778788,0,1
G022.35+00.06,,22.35649810059656,0.06636008021647362,0.231,0.108,-1.7,0.28,-3.9,0.31,80.0,5.0,43.20969122810694,-7.412504470136042,3.5211285274174173,0,1
G023.25-00.24,,23.256667908477972,-0.2405330629180043,0.169,0.051,-1.72,0.23,-4.09,0.28,63.0,3.0,-0.7430718711112444,-30.249359284128786,-0.8589372127253547,1,0
G023.43-00.18,,23.439874775875797,-0.18234046517464125,0.17,0.032,-1.93,0.15,-4.11,0.13,97.0,3.0,9.865593211175371,-4.527811241756865,3.01494164467511,1,0
G023.70-00.19,,23.706481409035387,-0.19808948789577602,0.161,0.024,-3.17,0.18,-6.38,0.21,73.0,5.0,51.053359441615484,-57.608359934994695,4.300575191808454,1,0
G024.78+00.08,,24.789784460044235,0.08328615497898524,0.15,0.016,-2.62,0.16,-5.08,0.2,111.0,3.0,11.028351855669019,-3.314226453252388,7.8029560222521,1,0
