gname,alias,ra,dec,glong,glat,plx,e_plx,mux,e_mux,muy,e_muy,vlsr,e_vlsr,Upec,Vpec,Wpec,is_tooclose,is_outlier
G359.13+00.03,,265.85671208333326,-29.654875277777784,359.1373497015032,0.03164965568619413,0.165,0.031,-3.98,0.36,-6.5,0.79,-1.0,10.0,-1.7873170969208025,-146.87468209449597,7.431825514314856,1,0
G359.93-00.14,,266.5079929166666,-29.066298333333336,359.9358046522043,-0.14465979579567287,0.181,0.029,-1.33,0.44,-1.8,0.78,-10.0,10.0,-9.010694943342811,-9.78181629843283,13.155272127357987,1,0
G000.37+00.03,,266.58917166666663,-28.59439472222222,0.37587051594994725,0.03998288982206162,0.125,0.047,-0.77,0.28,-2.67,0.4,37.0,10.0,33.82006995377913,10.132521459569716,-14.385856375414633,1,0
G000.67-00.03,SgrB2,266.8333333333333,-28.37777777777778,0.6723936512495867,-0.031085589754245226,0.129,0.012,-0.78,0.4,-4.26,0.4,62.0,5.0,47.05104391461594,27.873232947675177,-47.568471355624084,1,0
G001.00-00.23,,267.23035208333334,-28.196733333333334,1.0080088997502155,-0.23691464594107528,0.09,0.057,-3.87,0.28,-6.23,0.56,2.0,5.0,7.535440552509656,-114.87108052686081,11.856781823290692,1,0
G001.14-00.12,,267.2022541666667,-28.019819444444447,1.1468590971627388,-0.12451539666452208,0.194,0.161,0.82,0.33,-3.59,0.69,-16.0,3.0,-17.36090791002289,-24.51024745015073,-26.940349422981214,0,1
G002.70+00.04,,267.9415691666667,-26.599186111111113,2.703329806207946,0.04008424737831133,0.101,0.105,-3.13,0.87,-9.36,1.24,93.0,5.0,100.84710503994064,-174.48649274891517,-39.55055258231862,1,0
G009.21-00.20,,271.72017541666673,-21.074410555555556,9.214501562373684,-0.20178401986576255,0.303,0.096,-0.41,0.45,-1.69,0.5,43.0,5.0,25.110961161127936,-2.2610327942030892,1.7707275662072837,0,0
G009.62+00.19,,271.5610833333334,-20.52547222222222,9.621176471063592,0.19579350539472196,0.194,0.023,-0.58,0.13,-2.49,0.29,2.0,3.0,-37.546712876976166,-27.2045762125461,-8.79264918492649,1,0
G010.32-00.15,,272.2560620833333,-20.085514999999997,10.322582065798148,-0.15976309095023986,0.343,0.035,-1.03,0.36,-2.42,0.5,10.0,5.0,-5.811330703132547,-22.79390558317607,4.445263657323925,0,0
G010.47+00.02,,272.1592875,-19.86396166666667,10.472275231547771,0.027186927300817815,0.117,0.008,-3.86,0.19,-6.4,0.14,69.0,5.0,24.95477281012087,-26.153792690732246,18.97212986554307,1,0
G010.62-00.33,,272.57493708333334,-19.90129055555556,10.628762401846714,-0.33293427419314275,0.362,0.076,-0.36,0.39,-1.86,0.38,-6.0,5.0,-22.144944905832897,-14.987922619668439,1.177800665791377,0,1
G010.62-00.38,,272.61901166666667,-19.930205,10.623443843526005,-0.3831828909830312,0.202,0.019,-0.37,0.5,-0.6,0.25,-3.0,5.0,-60.143304585175024,5.284345110630937,9.025759001202331,1,0
G012.02-00.03,,273.00766666666664,-18.532166666666665,12.0253782206583,-0.031360968405016364,0.106,0.008,-4.11,0.11,-7.76,0.28,108.0,5.0,20.11695479627188,37.315992318008654,2.3488877026425348,1,0
G015.66-00.49,,275.2489458333333,-15.552722222222222,15.665337907741977,-0.4989202772567488,0.22,0.029,-1.16,0.24,-5.3,0.3,-4.0,5.0,-18.085109990895138,-86.41884107602127,-22.432182747429163,0,1
G016.86-02.15,,277.35170208333335,-15.267816944444444,16.863852816256305,-2.158718684011113,0.426,0.092,0.32,0.49,-2.48,0.56,17.0,3.0,-4.077514713994817,-8.689765058903333,-6.658994819279595,0,0
G017.02-02.40,,277.65122124999994,-15.241217777777777,17.02111143842585,-2.4026814379453247,0.531,0.108,0.1,0.61,-2.81,0.76,22.0,3.0,5.870782425471648,-6.537552428567608,-3.707074527078275,0,0
G019.00-00.02,,276.4365741666667,-12.379412777777778,19.00861898230549,-0.02927879524970525,0.247,0.063,-1.77,0.29,-4.0,0.42,56.0,5.0,26.20930307718943,-30.12659960737517,2.8722751299703777,0,1
G019.36-00.03,,276.607415,-12.06479638888889,19.364794581204375,-0.030218659385238107,0.352,0.069,-1.12,0.38,-2.5,0.46,27.0,3.0,-0.1760301753267763,-14.920876519638512,5.901858189273274,0,0
G019.49+00.11,,276.53820458333337,-11.880931666666665,19.495878629696847,0.11540813737933626,0.326,0.1,-3.6,0.42,-8.2,1.03,121.0,5.0,119.31904602708491,-38.52750624064848,0.23564580275944813,0,1
G022.35+00.06,,277.93383291666663,-9.370093333333333,22.35649810059656,0.06636008021647362,0.231,0.108,-1.7,0.28,-3.9,0.31,80.0,5.0,43.55706364559968,-7.019863748896995,3.5716475720336245,0,1
G023.25-00.24,,278.63016541666667,-8.713140555555555,23.256667908477972,-0.2405330629180043,0.169,0.051,-1.72,0.23,-4.09,0.28,63.0,3.0,-0.5883035187557386,-29.931137002931422,-0.8025331358555441,1,0
G023.43-00.18,,278.66327916666665,-8.523723611111112,23.439874775875797,-0.18234046517464125,0.17,0.032,-1.93,0.15,-4.11,0.13,97.0,3.0,9.94415866218581,-4.213652206670275,3.0736566191075667,1,0
G023.70-00.19,,278.80150416666663,-8.29431388888889,23.706481409035387,-0.19808948789577602,0.161,0.024,-3.17,0.18,-6.38,0.21,73.0,5.0,51.079145638711424,-57.2789957625929,4.371387516633103,1,0
G024.78+00.08,,279.0523391666667,-7.2030111111111115,24.789784460044235,0.08328615497898524,0.15,0.016,-2.62,0.16,-5.08,0.2,111.0,3.0,10.906020976043468,-3.0105115716498005,7.870455791835408,1,0
G024.85+00.08,,279.07661125,-7.147453888888889,24.85019363114266,0.08744403115578879,0.176,0.016,-2.42,0.19,-5.23,0.26,111.0,5.0,38.53368653822756,-5.5475095868811195,1.3976638278150393,1,0
G025.70+00.04,,279.51310416666666,-6.404219444444445,25.70947641263878,0.04382484083429205,0.098,0.029,-2.89,0.11,-6.2,0.36,93.0,5.0,-12.217447266429167,-15.701381018130405,-3.6104767487316014,1,0
