gname,alias,ra,dec,glong,glat,plx,e_plx,mux,e_mux,muy,e_muy,vlsr,e_vlsr,x,x_std,y,y_std,z,z_std,R,R_std,Upec,Upec_std,Vpec,Vpec_std,Wpec,Wpec_std,is_tooclose,is_outlier
G359.13+00.03,,265.85671208333326,-29.654875277777787,359.13734970150324,0.03164965568619413,0.165,0.031,-3.98,0.36,-6.5,0.79,-1.0,10.0,-0.09107138835651866,0.02065327684735344,2.1330477545124924,1.3716438585707489,0.004781615232803772,0.00018181255035166078,2.170932064573873,1.0371379570778234,-2.634630957997745,6.904862684998321,-137.43112058054086,36.59748733333608,7.317913749976767,0.1726273692753926,1,0
G359.93-00.14,,266.5079929166666,-29.066298333333336,359.9358046522043,-0.14465979579567287,0.18100000000000002,0.028999999999999998,-1.33,0.44,-1.8,0.78,-10.0,10.0,-0.006175608977230783,0.0010833082460363886,2.6673939159689226,0.9672450471822918,-0.012102381229584772,0.003102377565701377,2.669401042832791,0.8844178174924789,-9.436642301700525,5.412609736650137,-1.3337442555452697,41.805186073362016,13.34214126166241,0.9120973014859215,1,0
G000.37+00.03,,266.58917166666663,-28.59439472222222,0.3758705159499473,0.03998288982206162,0.125,0.047,-0.77,0.28,-2.67,0.4,37.0,10.0,0.05236528524607603,0.033992235116448714,0.19903385619832897,5.181623225954221,0.005715185644402056,8.559598981269936e-05,1.9987207030514236,4.307586944199027,-0.7670648084388184,41.09456040837765,-21.20759775236337,146.95809252807615,-19.5547345542551,17.93748847097328,1,0
G000.67-00.03,SgrB2,266.8333333333333,-28.37777777777778,0.6723936512495867,-0.031085589754245226,0.129,0.012,-0.78,0.4,-4.26,0.4,62.0,5.0,0.09088406226402365,0.00887745492460888,0.4374011810024127,0.7564215577299717,-0.003887794200686037,0.0009251284149134906,0.6249190059481992,0.46656065304999517,42.043101096813125,61.302138751759635,7.15243998004587,78.32670663284534,-48.52476348007226,5.522703401525078,1,0
G001.00-00.23,,267.23035208333334,-28.19673333333333,1.0080088997502157,-0.2369146459410753,0.09,0.057,-3.87,0.28,-6.23,0.56,2.0,5.0,0.18020222055691695,0.1443463419964922,-2.059933937915489,8.203526100087142,-0.04372924040848659,0.039500558442462474,2.8073504020426734,7.481006885288233,1.3040944335871492,6.705038124375719,-44.245583589652796,246.3227753273104,13.270269373269292,4.126606820458774,1,0
G001.14-00.12,,267.2022541666667,-28.01981944444445,1.1468590971627388,-0.12451539666452208,0.19399999999999998,0.161,0.82,0.33,-3.59,0.69,-16.0,3.0,0.09077007760862019,0.13616965663950228,3.6472890366506308,6.801835888859749,-0.007350969429245345,0.019403512655314894,4.33483289417626,4.8435811724098885,-18.354011778694787,19.55523148385984,-21.502746396116066,101.19423214704908,-46.7392296635555,82.34774123228298,1,0
G002.70+00.04,,267.9415691666667,-26.599186111111113,2.703329806207946,0.04008424737831133,0.10099999999999999,0.105,-3.13,0.87,-9.36,1.24,93.0,5.0,0.3576945899044879,0.4094955022223831,0.6058020137918108,8.67264383516539,0.005780021458334679,0.00022518249635794643,3.352282017121334,7.108230223466051,96.62055592520815,89.82516997493381,-101.69886271441878,371.00503318529024,-66.93908921928414,85.88301882821939,1,0
G009.21-00.20,,271.72017541666673,-21.07441055555556,9.214501562373684,-0.20178401986576253,0.303,0.096,-0.41,0.45,-1.69,0.5,43.0,5.0,0.5300323857677701,0.36922065567828083,4.914104021137378,2.275972564388626,-0.008213407910903511,0.009610806220209784,4.969127335952141,1.571136910796966,20.08412351889098,38.404433752825945,2.81404145898847,45.06692933070051,0.6388177911315873,5.093521872264304,0,0
G009.62+00.19,,271.5610833333334,-20.52547222222222,9.621176471063592,0.195793505394722,0.19399999999999998,0.023,-0.58,0.13,-2.49,0.29,2.0,3.0,0.8588892891817547,0.10803031461988696,3.114664241020078,0.6372846537115243,0.019832779252394704,0.0017922834878201857,3.2309169202194474,0.5561307426139993,-40.12129387630081,16.102333156686715,-22.033753358467806,5.441871706967984,-9.249882113332474,2.175706061048257,1,0
G010.32-00.15,,272.25606208333335,-20.085515,10.322582065798148,-0.15976309095023986,0.34299999999999997,0.035,-1.03,0.36,-2.42,0.5,10.0,5.0,0.5227861133105296,0.05657864902981308,5.3111006383024195,0.310634715496209,-0.004421714799767335,0.0010827977006285115,5.336768247667485,0.3027199779359274,-6.68781000915185,2.546992794842685,-18.645308455629404,2.20251333013649,4.322821188635565,0.40741731464690967,0,0
G010.47+00.02,,272.1592875,-19.863961666666672,10.472275231547773,0.02718692730081781,0.11699999999999999,0.008,-3.86,0.19,-6.4,0.14,69.0,5.0,1.5524088689842908,0.10863411250426715,-0.2173702917232069,0.5877245725687976,0.004168301195801014,9.902016990000636e-05,1.5786390802797439,0.2421549684864529,22.500924710409567,21.25063211156621,-22.308172909081236,7.907491897512296,18.97734378542441,0.7633863318007075,1,0
G010.62-00.33,,272.57493708333334,-19.90129055555556,10.628762401846712,-0.33293427419314275,0.36200000000000004,0.076,-0.36,0.39,-1.86,0.38,-6.0,5.0,0.5086927760508261,0.13554747482706386,5.470738698917859,0.7222790922600478,-0.012206139901072577,0.0047402225430770795,5.494338017654516,0.6773280240676497,-24.282571882947792,10.589342079104346,-11.523124613338851,5.528598198359877,0.5723999282039669,2.0323080523067407,0,1
G010.62-00.38,,272.61901166666667,-19.930204999999997,10.623443843526003,-0.3831828909830312,0.20199999999999999,0.019,-0.37,0.5,-0.6,0.25,-3.0,5.0,0.9119821048623777,0.08879459494783726,3.319286018888911,0.4733931438658422,-0.030664048132071936,0.0035292038569050515,3.4422915383187123,0.4245697137253921,-62.57765565046177,14.66657025804922,10.53446821253516,2.8028449349481828,8.997784393266478,0.07826865246380786,1,0
G012.02-00.03,,273.00766666666664,-18.532166666666665,12.0253782206583,-0.031360968405016364,0.106,0.008,-4.11,0.11,-7.76,0.28,108.0,5.0,1.9651098852487028,0.15137208308931713,-1.0436497421899,0.7106011062170298,-0.005540768525575697,0.0008568870022301168,2.225053178122989,0.4790325995187712,16.307047421400004,28.9346580426538,43.212955406965705,10.306274276064611,2.1834010200423686,0.4454239952016866,1,0
G015.66-00.49,,275.2489458333333,-15.552722222222224,15.665337907741975,-0.4989202772567488,0.22,0.028999999999999998,-1.16,0.24,-5.3,0.3,-4.0,5.0,1.2258419429970444,0.17426708772679944,3.8101927321243014,0.621410418491428,-0.03672427765303851,0.006014496926464816,4.0025313396828786,0.5051775101356532,-19.115236069298547,3.6781167547190003,-83.47709744274852,6.810724726105905,-23.48319970662677,4.510516775244096,1,0
G016.86-02.15,,277.3517020833333,-15.267816944444444,16.863852816256305,-2.158718684011113,0.426,0.092,0.32,0.49,-2.48,0.56,17.0,3.0,0.6821323834054929,0.19083643450940263,5.931207647799674,0.629513364584766,-0.08446874912809192,0.025193374556539555,5.970303907658956,0.5617428251479135,-6.640928619312695,10.592960296834345,-5.577634319144721,6.589144918231363,-7.999005271395559,4.465248221930501,0,0
G017.02-02.40,,277.65122124999994,-15.241217777777774,17.021111438425848,-2.4026814379453247,0.531,0.10800000000000001,0.1,0.61,-2.81,0.76,22.0,3.0,0.5502895096122085,0.1432746570053016,6.38391332428864,0.4679879437783639,-0.07442681765845535,0.020831626734896275,6.408050086329894,0.43113283385635404,4.216723703790711,5.712989796351425,-3.2959012128564638,4.868308981162627,-4.62065569589827,3.217229183355578,0,0
G019.00-00.02,,276.4365741666667,-12.379412777777777,19.00861898230549,-0.02927879524970525,0.247,0.063,-1.77,0.29,-4.0,0.42,56.0,5.0,1.3155444042169429,0.4985155275912476,4.362613065380359,1.4470858460272438,0.0011369227180758007,0.0016849300359925515,4.567200540942162,0.8442244931479983,20.846364125060894,27.287483786767112,-28.59569152980167,15.54626016097162,2.2272036619343965,2.19975408068752,0,1
G019.36-00.03,,276.607415,-12.06479638888889,19.36479458120437,-0.030218659385238107,0.35200000000000004,0.069,-1.12,0.38,-2.5,0.46,27.0,3.0,0.9423547490874284,0.22211551289119705,5.5001456754608595,0.6319698189463899,0.0024148403248075954,0.0007468200973470747,5.580289860250848,0.5484143844575188,-2.95632347996793,11.389801759761106,-11.989193926191916,5.9077703848771925,5.6979249271843955,0.5576939791238327,0,0
G019.49+00.11,,276.53820458333337,-11.880931666666665,19.495878629696847,0.11540813737933625,0.326,0.1,-3.6,0.42,-8.2,1.03,121.0,5.0,1.0249094854564753,0.6227570481690775,5.286438551163004,1.759017812130313,0.009967711543071862,0.0026640479320315935,5.395220748439477,1.1688890787695205,120.23621493834544,16.50036300615153,-41.702528481523046,44.93042828517274,-1.137121524010741,5.691216248043992,0,1
